sale_id,line_item_id,product_id,price,quantity,taxable
5763728874,1,42314780,12,1,N
5763729036,3,42314677,12,1,N
5763729036,3,42314782,12,3,N
5763729036,3,42314784,12,2,N
5763728904,2,42314780,12,1,N
5763728904,2,42314784,12,1,N
5763728973,4,42314677,12,2,N
5763728973,4,42314780,12,2,N
5763728973,4,42314782,12,2,N
5763728973,4,42314784,12,2,N
5763728757,5,42314677,12,2,N
5763728757,5,42314678,12,2,N
5763728757,5,42314780,12,2,N
5763728757,5,42314782,12,1,N
5763728757,5,42314784,12,2,N
5763729051,6,42314678,12,4,N
5763729051,6,42314679,12,1,N
5763729051,6,42314780,12,3,N
5763729051,6,42314782,12,2,N
5763729051,6,42314783,12,1,N
5763729051,6,42314784,12,1,N
5763729153,2,42314677,12,1,N
5763729153,2,42314780,12,1,N
5763728608,5,42314677,12,1,N
5763728608,5,42314780,12,2,N
5763728608,5,42314782,12,2,N
5763728608,5,42314783,12,1,N
5763728608,5,42314784,12,2,N
5763728696,4,42314677,12,3,N
5763728696,4,42314780,12,1,N
5763728696,4,42314783,12,1,N
5763728696,4,42314784,12,2,N
5763728768,2,42314679,12,1,N
5763728768,2,42314780,12,1,N
5763728685,6,42314677,12,1,N
5763728685,6,42314678,12,1,N
5763728685,6,42314679,12,1,N
5763728685,6,42314780,12,3,N
5763728685,6,42314783,12,1,N
5763728685,6,42314784,12,1,N
5763728787,5,42314677,12,1,N
5763728787,5,42314678,12,2,N
5763728787,5,42314780,12,1,N
5763728787,5,42314783,12,2,N
5763728787,5,42314784,12,1,N
5763729233,2,42314780,12,1,N
5763729233,2,42314782,12,2,N
5763729081,2,42314677,12,1,N
5763729081,2,42314784,12,1,N
5763728425,3,42314678,12,1,N
5763728425,3,42314780,12,1,N
5763728425,3,42314783,12,1,N
5763728579,3,42314677,12,2,N
5763728579,3,42314783,12,1,N
5763728579,3,42314784,12,1,N
5763728832,2,42314780,12,1,N
5763728832,2,42314782,12,1,N
5763728420,2,42314678,12,1,N
5763728420,2,42314783,12,1,N
5763728543,3,42314782,12,1,N
5763728543,3,42314783,12,1,N
5763728543,3,42314784,12,1,N
5763728877,5,42314677,12,4,N
5763728877,5,42314678,12,1,N
5763728877,5,42314679,12,1,N
5763728877,5,42314780,12,1,N
5763728877,5,42314784,12,2,N
5763728494,4,42314678,12,1,N
5763728494,4,42314780,12,1,N
5763728494,4,42314782,12,1,N
5763728494,4,42314784,12,1,N
5763729291,5,42314677,12,2,N
5763729291,5,42314678,12,1,N
5763729291,5,42314679,12,2,N
5763729291,5,42314780,12,1,N
5763729291,5,42314783,12,1,N
5763728662,4,42314678,12,1,N
5763728662,4,42314679,12,1,N
5763728662,4,42314780,12,1,N
5763728662,4,42314782,12,1,N
5763728428,6,42314677,12,1,N
5763728428,6,42314678,12,1,N
